model,id,name,measuring_unit
,1,абрикосовое варенье,г
,2,абрикосовое пюре,г
,3,абрикосовый джем,г
,4,абрикосовый сок,мл
,5,абрикосы,г
,6,абрикосы консервированные,г
,7,авокадо,г
,8,агава сироп,мл
,9,агар-агар,г
,10,аграм,г
,11,аджика,г
,12,аджика зеленая,г
,13,айва,г
,14,айвовое пюре,г
,15,айран,г
,16,айсинг,г
,17,акула стейки,г
,18,алкоголь,мл
,19,алкоголь крепкий,мл
,20,алыча,г
,21,альбухара,шт.
,22,альмехи,г
,23,амарантовая мука,г
,24,ананасовый сироп,мл
,25,ананасовый сок,мл
,26,ананасы,г
,27,ананасы вяленые,г
,28,ананасы консервированные,г
,29,анис,г
,30,анис звездочки,г
,31,анисовый ликер,мл
,32,анис семена,г
,33,анчоусы,г
,34,апельсиновая вода,мл
,35,апельсиновая цедра,г
,36,апельсиновая эссенция,ч. л.
,37,апельсиновое варенье,г
,38,апельсиновые цукаты,г
,39,апельсиновый джем,г
,40,апельсиновый джем с имбирем,г
,41,апельсиновый ликер,мл
,42,апельсиновый сироп,мл
,43,апельсиновый сок,мл
,44,апельсиновый сок свежевыжатый,мл
,45,апельсиновый уксус,мл
,46,апельсиновый экстракт,ч. л.
,47,апельсины,г
,48,апельсины красные,шт.
,49,апельсины крупные,шт.
,50,арахис,г
,51,арахис жареный,г
,52,арахисовая паста,г
,53,арахисовое масло,г
,54,арахис соленый,г
,55,арбузная мякоть,г
,56,арбузы,г
,57,аргановое масло,г
,58,аришта,г
,59,ароматизатор,г
,60,"ароматизатор ""ананас""",капля
,61,"ароматизатор ""вишня""",капля
,62,"ароматизатор ""малина""",капля
,63,"ароматизатор ""ром""",капля
,64,артишоки,г
,65,артишоки в масле,г
,66,артишоки маринованные,г
,67,аспирин,шт.
,68,ассорти мясное,г
,69,ассорти овощное,г
,70,ассорти фруктовое,г
,71,ассорти ягодное,г
,72,аши,г
,73,багет,г
,74,багет вчерашний,г
,75,багет мини,г
,76,бадан,г
,77,бадьян,г
,78,базилик лимонный,г
,79,базилик свежий,г
,80,базилик сушеный,г
,81,базилик тайский,г
,82,базилик фиолетовый,г
,83,баклажаны,г
,84,баклажаны мини,г
,85,баклажаны тайские,г
,86,балык,г
,87,бальзам,г
,88,бальзамический крем,г
,89,бальзамический соус,мл
,90,бальзамический уксус,мл
,91,бальзам рижский черный,мл
,92,бамия,г
,93,банановое пюре,г
,94,банановые чипсы,г
,95,банановый зеленый сироп,мл
,96,банановый ликер,мл
,97,бананы,г
,98,бананы мини,г
,99,барабулька,г
,100,бараний ливер,г
,101,бараний окорок на косточке,г
,102,бараний фарш,г
,103,баранина,г
,104,баранки,г
,105,бараньи антрекоты,г
,106,бараньи голяшки,шт.
,107,бараньи потроха,г
,108,бараньи ребрышки,шт.
,109,баранья лопатка,г
,110,баранья нога,г
,111,баранья печень,г
,112,барбарис,г
,113,барбарис вяленый,ст. л.
,114,барбарис молотый,г
,115,бастурма,г
,116,батат,г
,117,батон,г
,118,батончики шоколадные,г
,119,безе,г
,120,бекон,г
,121,бекон варено-копченый,г
,122,бекон сырокопченый,г
,123,белорыбица,г
,124,бирнель,мл
,125,бисквик смесь готовая,г
,126,бисквит,г
,127,бисквитная крошка,г
,128,бисквитный корж,г
,129,бисквитный рулет,г
,130,бисквит шоколадный,г
,131,бифштекс,шт.
,132,блинная мука,г
,133,блины готовые,г
,134,блины овсяные,шт.
,135,бобовые ростки,г
,136,бобы,г
,137,бобы мунг пророщенные,г
,138,бобы тонка,шт.
,139,ботарга,г
,140,брезаола,г
,141,бренди,г
,142,брокколи замороженная,г
,143,брокколи свежая,г
,144,брусника замороженная,г
,145,брусника свежая,г
,146,брусника сушеная,г
,147,брусничное варенье,г
,148,брусничный соус,г
,149,брынза,г
,150,брынза сербская,г
,151,брюква,г
,152,буженина,г
,153,бузина сироп,мл
,154,букет гарни,г
,155,булгур,г
,156,булка,г
,157,булка белая,г
,158,булка сдобная,г
,159,булочки,г
,160,булочки белые черствые,г
,161,булочки бриошь,шт.
,162,булочки вчерашние,шт.
,163,булочки для гамбургеров,шт.
,164,булочки зерновые,шт.
,165,булочки ржаные,кусок
,166,булочки с кунжутом,шт.
,167,бульон,мл
,168,бульонные кубики,г
,169,бурбон,мл
,170,Буррата,г
,171,буряк,г
,172,бусинки кондитерские,ч. л.
,173,бусинки кондитерские серебряные,г
,174,бычий хвост,г
,175,ванилин,г
,176,ваниль в стручках,г
,177,ванильная настойка,мл
,178,ванильная эссенция,г
,179,ванильный порошок,г
,180,ванильный сироп,мл
,181,ванильный экстракт,г
,182,варенье,г
,183,васаби,г
,184,вафельная крошка,г
,185,вафельные коржи,г
,186,вафельные трубочки,г
,187,вафли,г
,188,вафли шоколадные,г
,189,вермишель,г
,190,вермишель яичная,г
,191,вермут,мл
,192,вермут белый,мл
,193,вермут сухой,мл
,194,ветчина,г
,195,ветчина вареная,г
,196,ветчина варено-копченая,г
,197,ветчина копченая,г
,198,ветчина пармская,г
,199,ветчина сырокопченая,г
,200,вешенки,г
,201,винегрет,г
,202,винный камень,г
,203,винный уксус,мл
,204,винный уксус белый,мл
,205,винный уксус красный,мл
,206,винный уксус на чесноке,мл
,207,винный уксус на эстрагоне,мл
,208,вино белое,мл
,209,вино белое полусладкое,мл
,210,вино белое полусухое,мл
,211,вино белое сладкое,мл
,212,вино белое столовое,мл
,213,вино белое сухое,мл
,214,виноград,г
,215,виноград без косточек,г
,216,виноград белый,г
,217,виноград изабелла,г
,218,виноградное желе,г
,219,виноградные листья,г
,220,виноградные листья маринованные,г
,221,виноградные листья молодые,шт.
,222,виноградный сок,мл
,223,виноградный сок осветленный,мл
,224,виноград синий,г
,225,виноград черный,г
,226,вино десертное,мл
,227,вино игристое сухое,мл
,228,вино красное,мл
,229,вино красное полусладкое,мл
,230,вино красное полусухое,мл
,231,вино красное сладкое,мл
,232,вино красное сухое,мл
,233,вино крепленое,мл
,234,вино розовое полусладкое,мл
,235,вино розовое полусухое,мл
,236,виски,мл
,237,витамин C в порошке,г
,238,вишневая настойка,мл
,239,вишневое варенье,г
,240,вишневые листья,г
,241,вишневый джем,г
,242,вишневый ликер,мл
,243,вишневый сироп,мл
,244,вишневый сок,мл
,245,вишня,г
,246,вишня вяленая,г
,247,вишня замороженная,г
,248,вишня засахаренная кондитерская,шт.
,249,вишня коктейльная,г
,250,вишня мараскино,г
,251,"вишня, протертая с сахаром",г
,252,вода,мл
,253,вода минеральная без газа,мл
,254,вода минеральная газированная,мл
,255,водка,мл
,256,водка анисовая,мл
,257,водоросли,г
,258,вустерширский соус,мл
,259,галангал корень,г
,260,галеты,г
,261,гамбургер,г
,262,ганаш,г
,263,гарам масала,г
,264,гарнир,г
,265,гаспачо,г
,266,гвоздика,г
,267,гвоздика молотая,г
,268,герань листья,г
,269,геркулес,г
,270,глазурь,г
,271,глазурь белая,г
,272,глазурь готовая,г
,273,глазурь черная,г
,274,глазурь шоколадная белая,г
,275,глутамат натрия,г
,276,глюкоза,г
,277,глюкоза сироп,мл
,278,говядина,г
,279,говядина на кости,г
,280,говяжий фарш,г
,281,говяжий язык,г
,282,говяжье сердце,г
,283,говяжьи бифштексы,г
,284,говяжьи голяшки,г
,285,говяжьи легкие,г
,286,говяжьи ребра,г
,287,говяжьи стейки рибай,г
,288,говяжья вырезка,шт.
,289,говяжья грудинка,г
,290,говяжья лопатка,г
,291,говяжья мозговая кость,шт.
,292,говяжья мякоть,г
,293,говяжья печень,г
,294,говяжья черева,г
,295,говяжья шейка,г
,296,годжи,г
,297,голец филе,г
,298,голубика,г
,299,голубика замороженная,г
,300,голубь,г
,301,горбуша,г
,302,горбуша в собственном соку,банка
,303,горбуша филе,г
,304,горгонзола,г
,305,горгонзола пиканте,г
,306,горох,г
,307,горох колотый,г
,308,гороховые ростки,г
,309,гороховый суп,мл
,310,горошек зеленый,г
,311,горошек зеленый замороженный,г
,312,горошек зеленый консервированный,г
,313,горошек стручковый свежий,г
,314,горчица,г
,315,горчица дижонская,г
,316,горчица дижонская с медом,г
,317,горчица желтая семена,г
,318,горчица острая,г
,319,горчица русская,г
,320,горчица семена,г
,321,горчица с зернами,г
,322,горчица сухая,г
,323,горчица французская,г
,324,горчица цитрусовая,г
,325,горчичное масло,мл
,326,горчичный порошок,г
,327,грана падано,г
,328,гранатные зерна,г
,329,гранатовая паста,г
,330,гранатовый сироп,мл
,331,гранатовый сок,мл
,332,гранатовый сок свежевыжатый,мл
,333,гранатовый соус,мл
,334,гранаты,г
,335,гранита,г
,336,гранола с орехами,г
,337,граппа,г
,338,гратен,г
,339,грейпфрутовая цедра,г
,340,грейпфрутовый сок,г
,341,грейпфруты,г
,342,грейпфруты розовые,г
,343,гренадин,г
,344,гренки,г
,345,грецкие орехи,г
,346,грецкие орехи рубленые,г
,347,гречневая крупа,г
,348,гречневая крупа зеленая,г
,349,гречневая лапша соба,г
,350,гречневая мука,г
,351,гречневое молоко,мл
,352,гречневые хлопья,г
,353,грибы,г
,354,грибы белые,г
,355,грибы белые замороженные,г
,356,грибы белые маринованные,г
,357,грибы белые сухие,г
,358,грибы замороженные,г
,359,грибы замороженные (опята и маслята),г
,360,грибы лесные,г
,361,грибы маринованные,г
,362,грибы свежие,г
,363,грибы соленые,г
,364,грибы соломенные консервированные,г
,365,грибы сухие,г
,366,грибы шиитаке,г
,367,грибы шиитаке сухие,г
,368,гриль,г
,369,гриссини,г
,370,грудинка,г
,371,грудинка варено-копченая,г
,372,грудинка копченая,г
,373,грушевое пюре,г
,374,грушевый ликер,мл
,375,грушевый сироп,мл
,376,грушевый сок,мл
,377,грушевый уксус,мл
,378,груши,г
,379,груши вяленые,г
,380,грюйер,г
,381,гуава,г
,382,гуанчиале,г
,383,гурьевская каша,г
,384,гусиная грудка копченая,г
,385,гусиная печень,г
,386,гусиный жир,ст. л.
,387,гусь,г
,388,гусь тушка,г
,389,дайкон,г
,390,детское питание,г
,391,джем,г
,392,джин,мл
,393,джусай,г
,394,диоксид титана,г
,395,долма,г
,396,дорада,г
,397,дорада потрошеная с головой,г
,398,дорада с головой,г
,399,дорада тушка,г
,400,драже,г
,401,дрожжи домашние,г
,402,дрожжи свежие,г
,403,дрожжи сухие,г
,404,дубовая кора,г
,405,душица,г
,406,дыня,г
,407,ежевика,г
,408,ежевика замороженная,г
,409,ёрш,г
,410,ёрш-носарь,г
,411,желатин,г
,412,желатин листовой,г
,413,желе,г
,414,желе для торта,г
,415,желирующее вещество,г
,416,желирующий сахар,г
,417,женьшень,г
,418,жидкий дым,мл
,419,жимолость,г
,420,жир,г
,421,жир вытопленный,г
,422,жир кулинарный,г
,423,жир растительный,г
,424,заатар,г
,425,завтрак сухой,г
,426,завтрак сухой подушечки,г
,427,загуститель для сливок,г
,428,зайчатина,г
,429,закваска,г
,430,закваска вечная,г
,431,заменитель сахара,г
,432,заменитель сахара стевия,г
,433,заправка для салатов готовая,г
,434,зверобой,г
,435,зелень,г
,436,зелень рубленая,г
,437,земляника,г
,438,земляника замороженная,г
,439,зефир,г
,440,зира,г
,441,злаковые хлопья,г
,442,зубатка,г
,,зубатка филе,г
,,изолят соевого протеина,г
,,изюм,г
,,изюм без косточек,г
,,изюм белый,г
,,изюм черный,г
,,икра,г
,,икра вяленой рыбы,г
,,икра горбуши зернистая,г
,,икра красная,г
,,икра красной рыбы мелкая,г
,,икра летучей рыбы,г
,,икра лосося,г
,,икра мойвы,г
,,икра палтуса,г
,,икра судака,г
,,икра черная,г
,,имбирное варенье,г
,,имбирное печенье,г
,,имбирные цукаты,г
,,имбирь,г
,,имбирь засахаренный,г
,,имбирь корень,г
,,имбирь маринованный,г
,,имбирь молотый,г
,,индейка,г
,,индейка голень,г
,,индейка грудка,г
,,индейка копченая,г
,,индейка тушка,шт.
,,индейка фарш,г
,,индейка филе,г
,,индоутка,шт.
,,индюшачья печень,г
,,инжир,г
,,инжир свежий,г
,,инжир сушеный,г
,,ирга,г
,,ириски,г
,,итальянские травы,г
,,йогурт,г
,,йогурт греческий,г
,,йогурт жирный,г
,,йогурт козий,г
,,йогурт натуральный,г
,,йогурт нежирный,г
,,йогурт обезжиренный,г
,,йогурт фруктовый,г
,,кабачки,г
,,кабачки замороженные,г
,,кабачки молодые,г
,,каджунская смесь специй,г
,,какао,г
,,какао-бобы,г
,,какао-масло,г
,,какао-порошок,г
,,какао-порошок обезжиренный,г
,,какао сгущенное,г
,,калина,г
,,калина протертая,г
,,калинджи семена,ч. л.
,,кальвадос,г
,,кальмары,г
,,кальмары вареные,г
,,кальмары замороженные,г
,,кальмары консервированные,г
,,кальмары филе,г
,,камамбер,г
,,камбала,г
,,камбала филе,г
,,кампари,мл
,,кандурин золотой,ч. л.
,,каннеллони,г
,,капеллини,г
,,каперсы,г
,,каперсы в винном уксусе,г
,,каперсы маринованные,г
,,капуста белокочанная,г
,,капуста брюссельская,г
,,капуста брюссельская замороженная,г
,,капуста кале,г
,,капуста квашеная,г
,,капуста кольраби,г
,,капуста краснокочанная,г
,,капуста морская,г
,,капуста морская замороженная,г
,,капуста морская сушеная,г
,,капуста пекинская,г
,,капуста савойская,г
,,капуста цветная,г
,,капуста цветная замороженная,г
,,капустный рассол,г
,,капучино,г
,,каракатица,г
,,каракатица очищенная,г
,,карамбола,г
,,карамель,г
,,карамельный соус,г
,,карамель с начинкой,г
,,карамель соленая,г
,,карась,г
,,карбонад,г
,,кардамон,г
,,кардамон зерна,г
,,кардамон молотый,г
,,кардамон стручки,г
,,каркаде,г
,,карп,г
,,карп зеркальный,г
,,карп филе,г
,,карри,г
,,карри листья,г
,,карри паста,г
,,картофель,г
,,картофель вареный,г
,,картофель вареный в мундире,г
,,картофель молодой,г
,,картофельное пюре,г
,,картофельные ньокки,г
,,картофельные хлопья,г
,,картофельные чипсы,г
,,картофельный крахмал,г
,,картофельный отвар,г
,,картофельный хэш замороженный,г
,,картофель печеный,г
,,катык,г
,,каффир-лайм листья,г
,,каша,г
,,каша для детского питания,г
,,каштановая мука,г
,,каштановый крем,г
,,каштаны,г
,,каштаны вареные,г
,,каштаны консервированные,г
,,каштаны очищенные,г
,,квас,г
,,квасное сусло,г
,,квасной концентрат сухой,г
,,квас хлебный,г
,,кедровая мука,г
,,кедровые орехи,г
,,кедровые орехи жареные,г
,,кета,г
,,кетчуп острый,г
,,кетчуп томатный,г
,,кетчуп тосканский,г
,,кетчуп шашлычный,г
,,кефаль,г
,,кефир,мл
,,кефир 1%,мл
,,"кефир 2,5%",мл
,,"кефир 3,2%",мл
,,кефир обезжиренный,мл
,,кешью,г
,,кивано,г
,,киви,г
,,киви желе,г
,,кижуч,г
,,кижуч горячего копчения филе,г
,,кизил,г
,,килька,г
,,кимчи,г
,,кинза свежая,г
,,кинза сушеная,г
,,киноа,г
,,киноа молотая,г
,,кипяток,мл
,,кирш,г
,,кисель,г
,,кисель сухой,г
,,кисломолочный напиток Тан,мл
,,кишки,г
,,клейковина,г
,,клементины,г
,,кленовый сироп,мл
,,клубника,г
,,клубника в сиропе,г
,,клубника замороженная,г
,,"клубника, протертая с сахаром",г
,,клубника сушеная,г
,,клубничное варенье,г
,,клубничное желе,г
,,клубничное пюре,г
,,клубничный джем,г
,,клубничный джем густой,г
,,клубничный компот,мл
,,клубничный ликер,мл
,,клубничный сироп,мл
,,клюква,г
,,клюква вяленая,г
,,клюква замороженная,г
,,"клюква, протертая с сахаром",г
,,клюквенное варенье,г
,,клюквенный джем,г
,,клюквенный морс,мл
,,клюквенный сироп,мл
,,клюквенный соус,г
,,козлиная печень,г
,,козлятина молодая,г
,,кока-кола,мл
,,кокосовая вода,мл
,,кокосовая мука,г
,,кокосовая стружка,г
,,кокосовая стружка цветная,г
,,кокосовое масло,мл
,,кокосовое молоко,мл
,,кокосовые сливки,мл
,,кокосовый ликер,мл
,,кокосовый экстракт,мл
,,кокосы,г
,,кола,мл
,,колбаса,г
,,колбаса вареная,г
,,колбаса варено-копченая,г
,,колбаса копченая,г
,,колбаса кровяная,г
,,колбаса полукопченая,г
,,колбаса сырокопченая,г
,,колбаска свиная свежая (salsiccia),г
,,колбаски,г
,,колбаски для жарки,г
,,колбаски домашние,г
,,колбаски охотничьи,г
,,колбаски сырокопченые,г
,,компот,г
,,конопляное масло,мл
,,конопля семена,г
,,конфеты,г
,,конфеты M&M’s,г
,,конфеты жевательные лакричные,г
,,конфеты Коровка,г
,,конфеты Трюфель,г
,,конфитюр,г
,,конфитюрка,г
,,коньяк,мл
,,копчености,г
,,коренья,г
,,кориандр,г
,,кориандр зелень,г
,,кориандр молотый,г
,,кориандр семена,г
,,коринка,г
,,корица,г
,,корица молотая,г
,,корнишоны,г
,,корнишоны маринованые,г
,,корюшка,г
,,корюшка горячего копчения,г
,,кости,г
,,кости мозговые,г
,,кость сахарная,г
,,кофе в зернах,г
,,кофе зеленый,г
,,кофейные зерна в шоколаде,г
,,кофейный ликер,мл
,,кофейный ликер Kahlua,мл
,,кофейный напиток,мл
,,кофейный сироп,мл
,,кофейный экстракт,мл
,,кофе молотый,г
,,кофе растворимый,г
,,кофе свежесваренный,мл
,,кофе черный,мл
,,кофе эспрессо,мл
,,крабовое мясо,г
,,крабовые палочки,г
,,краб снежный,г
,,крабы,г
,,крапива,г
,,краситель-гель пищевой,г
,,краситель пищевой,г
,,краситель пищевой вишневый,г
,,краситель пищевой желтый,г
,,краситель пищевой зеленый,г
,,краситель пищевой красный,г
,,краситель пищевой оранжевый,г
,,краситель пищевой фиолетовый,г
,,краситель пищевой черный,г
,,красная смородина,г
,,"красная смородина, протертая с сахаром",г
,,красноперка,г
,,красносмородиновое варенье,г
,,красный винный соус,г
,,крахмал,г
,,креветки,г
,,креветки замороженные,г
,,креветки королевские,г
,,креветки очищенные,г
,,креветки очищенные в рассоле,г
,,креветки салатные,г
,,креветки сушеные,г
,,креветки тигровые,г
,,крекер,г
,,крекер соленый,г
,,крем заварной,г
,,крем заварной порошковый,г
,,крем-фреш,г
,,кресс-салат,г
,,кровь,мл
,,кролик,г
,,кролик тушка,г
,,кролик филе,г
,,кроличья печень,г
,,круассаны,шт.
,,крутоны мелкие,г
,,крыжовник,г
,,крыжовниковое варенье,г
,,кукуруза,г
,,кукуруза замороженная,г
,,кукуруза консервированная,г
,,кукуруза обжаренная кикос,г
,,кукурузная крупа,г
,,кукурузная мука,г
,,кукурузное масло,г
,,кукурузные лепешки,шт.
,,кукурузные палочки,г
,,кукурузные хлопья,г
,,кукурузные хлопья глазированные,г
,,кукурузные чипсы,г
,,кукурузный (золотой) сироп,мл
,,кукурузный крахмал,г
,,кумин,г
,,кумкваты,г
,,кунжут,г
,,кунжутная мука,г
,,кунжутная паста,г
,,кунжутное масло,г
,,кунжутные семечки,г
,,кунжут черный,г
,,купаты,шт.
,,курага,г
,,курдючное сало,г
,,курдючный жир,г
,,куриная ветчина,г
,,куриная кожа,г
,,куриная печень,г
,,куриное карпаччо,г
,,куриное филе,г
,,куриные бедра,г
,,куриные голени,г
,,куриные голени копченые,шт.
,,куриные грудки,г
,,куриные грудки вареные,г
,,куриные грудки копченые,г
,,куриные желудочки,г
,,куриные кости,г
,,куриные крылья,г
,,куриные окорочка,г
,,куриные окорочка копченые,г
,,куриные потрошки,г
,,куриные сердечки,г
,,куриный бульон,мл
,,куриный паштет,г
,,куриный суповой набор,г
,,куриный фарш,г
,,курица,г
,,курица вареная,г
,,курица для жарки,г
,,курица копченая,г
,,курица тушка,г
,,куркума,г
,,куропатки,г
,,кускус,г
,,кускус жемчужный,стакан
,,кэроб,г
,,лаванда,г
,,лаванда сушеная,щепотка
,,лавандовый краситель,ч. л.
,,лаваш,г
,,лаваш армянский,г
,,лаваш персидский круглый,г
,,лаваш тонкий,г
,,лавровые листья свежие,шт.
,,лавровый лист,г
,,лайм,г
,,лайм листья,шт.
,,лаймовая цедра,г
,,лаймовый сок,мл
,,лангустины,шт.
,,лапша,г
,,лапша для лагмана,г
,,лапша ширатаки,г
,,лапша яичная в гнездах,г
,,латук,г
,,легкие,г
,,лед,г
,,леди-фиш тушка,г
,,лемонграсс (лимонное сорго),г
,,лен семена,г
,,лепешки,г
,,лепешки арабские,шт.
,,лесные орехи,г
,,лечо,г
,,ливер,г
,,ликер,мл
,,ликер Alchermes,мл
,,ликер Amaretto,мл
,,ликер Baileys,мл
,,ликер Cointreau,мл
,,ликер кремовый,мл
,,ликер сливочный,мл
,,лимонад,мл
,,лимонная кислота,мл
,,лимонная цедра,г
,,лимонник стебель,г
,,лимонник ягоды,г
,,лимонные корочки засахаренные,г
,,лимонные цукаты,г
,,лимонный сок,мл
,,лимонный уксус,мл
,,лимонный экстракт,мл
,,лимончелло,г
,,лимоны,г
,,лингвине,шт.
,,лисички,г
,,лисички сушеные,г
,,личи,шт.
,,личи компот,мл
,,лобстер,г
,,лонган,г
,,лонгконг,шт.
,,лососевые молоки,г
,,лососевый фарш,г
,,лосось,г
,,лосось горячего копчения,г
,,лосось копченый,г
,,лосось свежесоленый,г
,,лосось свежий,г
,,лосось свежий филе,г
,,лосось слабосоленый,г
,,лосось стейки,г
,,лосось филе,г
,,лосось филе на коже,г
,,лосось холодного копчения,г
,,лосятина,г
,,лук белый,г
,,лук зеленый,г
,,лук красный,г
,,лук маринованный,г
,,луковая шелуха,г
,,луковый порошок,г
,,лук-порей,горсть
,,лук-резанец,г
,,лук репчатый,г
,,лук репчатый мелкий,г
,,лук салатный,г
,,лук сушеный,г
,,лук-шалот,г
,,лук-шалот красный,г
,,льняная мука,г
,,льняное масло,мл
,,льняное семя,г
,,льняное семя молотое,г
,,любисток,г
,,маасдам,г
,,мадера,г
,,майонез,г
,,майонез домашний,г
,,майонез легкий,г
,,майонезный соус «Слобода» Постный,г
,,майонез оливковый,г
,,майонез «Слобода» Легкий,г
,,майонез «Слобода» На перепелиных яйцах,г
,,майонез «Слобода» Оливковый,г
,,майонез «Слобода» Провансаль,г
,,майонез «Слобода» С лимонным соком,г
,,майонез «Слобода» Сметанный,г
,,майоран,г
,,майоран свежий,г
,,майоран сушеный,г
,,мак,г
,,макаронные изделия,г
,,макаронные изделия мелкие,г
,,макароны,г
,,макароны-бабочки (farfalle),г
,,макароны-бабочки (farfalle) мини,г
,,макароны баветте,г
,,макароны-бантики,г
,,макароны букатини,г
,,макароны джильи,г
,,макароны диталони,г
,,макароны-звездочки,г
,,макароны орзо,г
,,макароны-ракушки (conchiglie),г
,,макароны-ракушки (conchiglie rigate),г
,,макароны-ракушки крупные,г
,,макароны рисони,г
,,макароны-рожки (pipe rigate),г
,,макароны-спиральки (fusilli),г
,,макароны-ушки (orecchiette),г
,,маккерончини,г
,,мак молотый,г
,,маковая масса,г
,,малина,г
,,малина замороженная,г
,,"малина, протертая с сахаром",г
,,малина сушеная,г
,,малиновое варенье,г
,,малиновое желе,г
,,малиновое пюре,г
,,малиновый джем,г
,,малиновый крем,г
,,малиновый сироп,мл
,,малиновый соус,г
,,малиновый уксус,мл
,,малиновый чай,г
,,манго,г
,,манговый сироп,мл
,,манго консервированное,г
,,мангольд,г
,,мангустин,г
,,мандариновое пюре,г
,,мандариновые цукаты,г
,,мандариновый сок,мл
,,мандарины,г
,,мандарины в собственном соку,г
,,манная крупа,г
,,маракуйя,г
,,маргарин,г
,,маргарин сливочный,г
,,мармелад,г
,,мармелад бутербродный,г
,,марсала,г
,,мартини,мл
,,мартини красный,мл
,,марципан,г
,,марципан зеленый,г
,,марципан розовый,г
,,маршмеллоу,г
,,маршмеллоу крем,г
,,маршмеллоу мини,г
,,маскарпоне,г
,,маслины,г
,,маслины без косточек,г
,,масло авокадо,мл
,,масло виноградных косточек,мл
,,масло грецкого ореха,мл
,,масло для фритюра,мл
,,масло кедрового ореха,мл
,,маслята,г
,,мастика,г
,,мастика желатиновая,г
,,мастика шоколадная,г
,,матча,г
,,мафальдине,г
,,маца,г
,,мацони,г
,,маш,г
,,мед,г
,,мед акации,г
,,мед гречишный,г
,,мед жидкий,г
,,мед лавандовый,г
,,мелисса,г
,,меренги,г
,,мидии,г
,,мидии в раковинах,г
,,мидии в раковинах крупные черные,г
,,мидии в раковинах мелкие зеленые,г
,,мидии замороженные,г
,,мидии копченые в масле,г
,,микрозелень,г
,,миндаль,г
,,миндаль жареный,г
,,миндаль измельченный,г
,,миндальная масса,г
,,миндальная мука,г
,,миндальная паста,г
,,миндальная эссенция,г
,,миндальное масло,г
,,миндальное молоко,мл
,,миндальное печенье,г
,,миндальное пралине,г
,,миндальные лепестки,г
,,миндальный ликер,мл
,,миндальный сироп,мл
,,миндальный экстракт,мл
,,миндаль очищенный,г
,,миндаль рубленый,г
,,мини-кукуруза,г
,,минога,г
,,минтай,г
,,минтай печень,г
,,минтай филе,г
,,мисо-паста,г
,,мисо-суп,мл
,,можжевельник ягоды,г
,,мойва,г
,,моллюски,г
,,молоко,мл
,,"молоко 0,5%",мл
,,"молоко 1,5%",мл
,,"молоко 2,5%",мл
,,"молоко 3,2%",мл
,,"молоко 3,6%",мл
,,молоко 4%,мл
,,молоко 6%,мл
,,молоко козье,мл
,,молоко концентрированное,мл
,,молоко рисовое,мл
,,молоко сгущенное,г
,,молоко сгущенное вареное,г
,,молоко сгущенное с какао,г
,,молоко сухое,г
,,молоко сухое обезжиренное,г
,,молоко топленое,мл
,,молочная смесь,г
,,молочные продукты,г
,,морепродукты,г
,,морковное пюре,г
,,морковь,г
,,морковь вареная,г
,,морковь крупная,г
,,морковь молодая,г
,,морковь по-корейски,г
,,морковь тертая,г
,,мороженое,г
,,мороженое ванильное,г
